occupation,male,female,total,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
student,16260,5696,21956,6398,3358,914,1759,6958,1836,117,7777,352,269,1340,1078,1009,4156,3069,5130,1770,408
other,6998,3664,10662,2672,1431,421,881,3165,828,65,4307,144,146,535,566,579,2177,1242,2321,1000,172
educator,6905,2536,9441,1962,1128,263,593,2708,710,107,4281,112,202,421,481,532,2006,986,1767,1005,189
engineer,8029,145,8174,2277,1299,363,629,2438,611,51,3153,125,145,414,441,363,1467,1221,1712,858,180
programmer,7381,419,7800,2322,1240,312,583,2418,666,51,2800,117,141,389,385,375,1400,1167,1750,755,162
administrator,4825,2654,7479,1858,1020,203,462,2203,565,48,3099,94,147,391,354,385,1539,942,1570,786,168
writer,3297,2238,5535,1292,674,176,367,1574,498,46,2208,71,125,454,272,335,1007,671,1304,445,94
librarian,2413,2860,5273,988,536,159,290,1576,370,48,2557,55,96,226,238,293,1245,508,977,481,82
technician,3397,108,3505,1079,558,132,221,1056,275,24,1295,38,46,164,175,177,645,531,796,383,89
executive,3182,221,3403,808,436,91,232,951,287,26,1407,50,58,155,131,203,592,391,811,312,49
